m2,price,location
146.5,1395.0,Xierqi
294.7,3480.0,Xierqi
165.62,1298.0,Xierqi
114.22,785.0,Xierqi
88.86,798.0,Xierqi
294.7,3480.0,Xierqi
68.71,449.0,Xierqi
114.24,518.0,Xierqi
88.49,410.0,Xierqi
71.1,380.0,Xierqi
85.08,460.0,Xierqi
72.06,355.0,Xierqi
218.49,1250.0,Xierqi
218.49,1250.0,Xierqi
225.44,1880.0,Xierqi
71.1,380.0,Xierqi
87.41,739.0,Xierqi
283.76,2780.0,Xierqi
165.62,1298.0,Xierqi
139.58,1180.0,Xierqi
218.49,1250.0,Xierqi
294.7,2760.0,Xierqi
95.0,735.0,Xierqi
68.71,449.0,Xierqi
125.8,880.0,Xierqi
137.0,919.0,Xierqi
180.19,1599.0,Xierqi
116.04,985.0,Xierqi
94.5,650.0,Xierqi
87.41,749.0,Xierqi
125.21,985.0,Xierqi
68.71,450.0,Xierqi
142.51,1200.0,Xierqi
96.2,850.0,Xierqi
126.08,734.0,Xierqi
96.1,536.0,Xierqi
125.19,980.0,Xierqi
66.86,400.0,Xierqi
94.57,710.0,Xierqi
88.86,798.0,Xierqi
236.29,1839.0,Xierqi
68.71,455.0,Xierqi
132.64,1099.0,Xierqi
123.47,618.0,Xierqi
99.66,816.0,Xierqi
91.5,478.0,Xierqi
68.71,374.0,Xierqi
71.3,349.0,Xierqi
82.57,519.0,Xierqi
91.7,510.0,Xierqi
88.49,495.0,Xierqi
80.97,539.0,Xierqi
147.34,1580.0,Xierqi
71.3,359.0,Xierqi
71.1,380.0,Xierqi
54.88,299.0,Xierqi
55.52,276.0,Xierqi
89.24,659.0,Xierqi
91.5,478.0,Xierqi
80.7,450.0,Xierqi
72.06,355.0,Xierqi
69.8,325.0,Xierqi
125.19,980.0,Xierqi
126.08,667.0,Xierqi
142.0,890.0,Xierqi
119.88,599.0,Xierqi
87.41,739.0,Xierqi
125.21,985.0,Xierqi
99.66,816.0,Xierqi
80.97,539.0,Xierqi
91.7,520.0,Xierqi
68.71,374.0,Xierqi
96.1,536.0,Xierqi
65.69,470.0,Xierqi
71.3,348.0,Xierqi
98.15,520.0,Xierqi
142.51,1030.0,Xierqi
90.8,479.0,Xierqi
180.19,1599.0,Xierqi
58.5,269.0,Xierqi
98.6,499.0,Xierqi
139.58,1180.0,Xierqi
120.61,1099.0,Xierqi
236.29,1839.0,Xierqi
143.89,1200.0,Xierqi
88.49,495.0,Xierqi
123.47,618.0,Xierqi
54.88,258.0,Xierqi
71.3,359.0,Xierqi
126.2,535.0,Xierqi
54.0,300.0,Xierqi
135.38,368.0,Xierqi
80.76,715.0,Xierqi
162.3,1149.0,Xierqi
66.86,400.0,Xierqi
85.08,460.0,Xierqi
72.06,310.0,Xierqi
98.69,1200.0,Xierqi
125.19,780.0,Xierqi
52.9,333.0,Xierqi
116.04,985.0,Xierqi
71.1,380.0,Xierqi
82.57,519.0,Xierqi
147.34,1580.0,Xierqi
65.5,360.0,Xierqi
124.71,808.0,Xierqi
114.24,499.0,Xierqi
114.24,550.0,Xierqi
65.65,335.0,Xierqi
283.76,2780.0,Xierqi
100.28,799.0,Xierqi
126.08,618.0,Xierqi
87.41,749.0,Xierqi
54.88,299.0,Xierqi
99.26,499.0,Xierqi
72.42,325.0,Xierqi
72.42,325.0,Xierqi
162.3,1149.0,Xierqi
95.0,735.0,Xierqi
82.57,519.0,Xierqi
91.7,510.0,Xierqi
72.06,310.0,Xierqi
135.38,368.0,Xierqi
52.9,333.0,Xierqi
142.51,1090.0,Xierqi
103.21,330.0,Xierqi
123.71,380.0,Xierqi
89.89,399.0,Xierqi
83.75,370.0,Xierqi
259.2,1970.0,Xierqi
121.27,1020.0,Xierqi
125.21,1005.0,Xierqi
83.83,398.0,Xierqi
225.44,1880.0,Xierqi
66.3,355.0,Xierqi
111.25,1020.0,Xierqi
88.49,508.0,Xierqi
283.33,2650.0,Xierqi
225.46,1600.0,Xierqi
95.39,960.0,Xierqi
95.0,808.0,Xierqi
146.38,1365.0,Xierqi
99.72,455.0,Xierqi
107.31,830.0,Xierqi
56.34,340.0,Xierqi
53.01,370.0,Xierqi
54.88,300.0,Xierqi
71.3,359.0,Xierqi
122.45,550.0,Xierqi
162.77,1350.0,Xierqi
152.58,1298.0,Xierqi
54.49,208.0,Xierqi
86.3,425.0,Xierqi
114.22,785.0,Xierqi
153.04,1390.0,Xierqi
85.08,449.0,Xierqi
54.88,285.0,Xierqi
114.24,518.0,Xierqi
269.57,2900.0,Xierqi
119.9,660.0,Xierqi
61.6,278.0,Xierqi
61.2,306.0,Xierqi
308.03,2200.0,Xierqi
110.99,1049.0,Xierqi
61.1,305.0,Xierqi
145.78,1335.0,Xierqi
92.06,550.0,Xierqi
88.86,468.0,Xierqi
68.58,395.0,Xierqi
144.82,558.0,Xierqi
231.39,1300.0,Xierqi
297.09,2280.0,Xierqi
86.3,421.0,Xierqi
101.81,450.0,Xierqi
117.98,1100.0,Xierqi
56.36,260.0,Xierqi
58.77,265.0,Xierqi
229.39,1900.0,Xierqi
89.89,409.0,Xierqi
155.52,1359.0,Xierqi
233.56,2128.0,Xierqi
131.85,1050.0,Xierqi
92.06,550.0,Xierqi
85.08,570.0,Xierqi
88.86,468.0,Xierqi
100.13,530.0,Xierqi
261.57,1949.0,Xierqi
95.54,768.0,Xierqi
88.17,380.0,Xierqi
308.03,2200.0,Xierqi
71.1,310.0,Xierqi
104.11,780.0,Xierqi
65.72,329.0,Xierqi
72.06,299.0,Xierqi
66.0,330.0,Xierqi
95.39,960.0,Xierqi
112.33,349.0,Xierqi
122.77,500.0,Xierqi
363.24,2600.0,Xierqi
50.39,279.0,Xierqi
122.49,350.0,Xierqi
145.78,1335.0,Xierqi
114.5,750.0,Xierqi
99.72,455.0,Xierqi
53.6,329.0,Xierqi
113.48,539.0,Xierqi
117.98,1100.0,Xierqi
52.7,350.0,Xierqi
61.6,278.0,Xierqi
82.57,519.0,Xierqi
141.42,868.0,Xierqi
83.75,389.0,Xierqi
140.68,1150.0,Xierqi
66.3,390.0,Xierqi
153.04,1299.0,Xierqi
101.81,440.0,Xierqi
229.48,1900.0,Xierqi
142.51,1090.0,Xierqi
94.48,615.0,Xierqi
144.0,888.0,Xierqi
97.77,710.0,Xierqi
63.0,310.0,Xierqi
137.3,860.0,Xierqi
141.74,1040.0,Xierqi
