m2,price,location
111.57,838,Shangdi
59.5,868,Shangdi
70.44,868,Shangdi
146.25,1068,Shangdi
198.31,2420,Shangdi
73.6,880,Shangdi
137.1,1060,Shangdi
121.84,1399,Shangdi
150.98,1380,Shangdi
88.88,580,Shangdi
110.38,803,Shangdi
111.89,779,Shangdi
70.4,695,Shangdi
116.35,820,Shangdi
213.18,1980,Shangdi
51.1,390,Shangdi
57.57,415,Shangdi
156.15,1520,Shangdi
108.08,798,Shangdi
88,588,Shangdi
88.17,593,Shangdi
170.84,1490,Shangdi
41.69,320,Shangdi
86.75,568,Shangdi
88,790,Shangdi
117.43,1020,Shangdi
116.48,986,Shangdi
58.8,840,Shangdi
108.08,750,Shangdi
60.1,868,Shangdi
211.86,2380,Shangdi
175.1,1188,Shangdi
172.33,1298,Shangdi
114.4,899,Shangdi
74,850,Shangdi
161.79,1690,Shangdi
46.25,355,Shangdi
73.7,965,Shangdi
59.5,860,Shangdi
90.1,999,Shangdi
79.63,850,Shangdi
88.88,580,Shangdi
110.34,898,Shangdi
161.79,1690,Shangdi
70.44,868,Shangdi
86.59,599,Shangdi
94.61,1000,Shangdi
118.79,848,Shangdi
85.27,790,Shangdi
156.15,1390,Shangdi
87.14,628,Shangdi
88.17,593,Shangdi
114.4,899,Shangdi
117.43,1020,Shangdi
135.41,910,Shangdi
85.27,790,Shangdi
122.11,999,Shangdi
131.63,1278,Shangdi
150.98,1380,Shangdi
57.57,515,Shangdi
111.57,810,Shangdi
157.74,1459,Shangdi
128.23,1170,Shangdi
73.7,920,Shangdi
95.04,685,Shangdi
54.58,435,Shangdi
157.74,1459,Shangdi
169.94,1400,Shangdi
95.04,780,Shangdi
57.57,515,Shangdi
88.17,599,Shangdi
62.6,375,Shangdi
112.28,850,Shangdi
213.18,1980,Shangdi
59.5,800,Shangdi
44.9,725,Shangdi
151.53,1200,Shangdi
137.04,966,Shangdi
62.85,798,Shangdi
112.57,899,Shangdi
108.08,798,Shangdi
51.1,390,Shangdi
120.41,870,Shangdi
108.08,750,Shangdi
138.55,1230,Shangdi
137.26,1560,Shangdi
79.63,850,Shangdi
105.51,780,Shangdi
58.1,868,Shangdi
116.48,986,Shangdi
111.57,708,Shangdi
95.67,1198,Shangdi
118.79,848,Shangdi
73.7,920,Shangdi
111.57,708,Shangdi
141.22,1060,Shangdi
47.3,730,Shangdi
138.55,1230,Shangdi
118.22,900,Shangdi
159,1090,Shangdi
54.58,435,Shangdi
213.16,1021,Shangdi
106.84,1355,Shangdi
135.41,910,Shangdi
146.1,1268,Shangdi
149.67,1720,Shangdi
95.04,685,Shangdi
44.8,720,Shangdi
148.39,1030,Shangdi
95.67,1198,Shangdi
36.69,299,Shangdi
57.57,515,Shangdi
86.59,599,Shangdi
85.27,790,Shangdi
111.57,810,Shangdi
73.6,880,Shangdi
139.31,1410,Shangdi
104,996,Shangdi
148.07,1399,Shangdi
115.91,898,Shangdi
140.47,943,Shangdi
60.8,755,Shangdi
149.84,1680,Shangdi
131.1,1370,Shangdi
98.94,820,Shangdi
173.2,1380,Shangdi
69.97,680,Shangdi
175.1,1188,Shangdi
62.6,375,Shangdi
111.57,708,Shangdi
144.45,999,Shangdi
84.33,710,Shangdi
86.59,599,Shangdi
107.99,798,Shangdi
170.84,1490,Shangdi
125.3,1099,Shangdi
105.45,949,Shangdi
59.5,800,Shangdi
