m2,price,location
90.65,568,Xisanqi
139.72,859,Xisanqi
87.2,519,Xisanqi
254.63,2050,Xisanqi
70.12,272,Xisanqi
116.28,898,Xisanqi
90.85,510,Xisanqi
59.96,299,Xisanqi
194.17,1188,Xisanqi
254.63,2050,Xisanqi
128.52,1070,Xisanqi
67.25,405,Xisanqi
124.53,600,Xisanqi
60.01,318,Xisanqi
89,538,Xisanqi
291.39,1795,Xisanqi
50.87,220,Xisanqi
91.95,610,Xisanqi
149.63,980,Xisanqi
134,980,Xisanqi
82.87,350,Xisanqi
82.87,350,Xisanqi
195.53,798,Xisanqi
89.63,510,Xisanqi
94.65,595,Xisanqi
94.15,338,Xisanqi
97.33,690,Xisanqi
117.14,552,Xisanqi
58.5,198,Xisanqi
126.87,888,Xisanqi
80.3,340,Xisanqi
90.65,558,Xisanqi
126,545,Xisanqi
179.61,1480,Xisanqi
86.36,282,Xisanqi
143.87,988,Xisanqi
118.03,650,Xisanqi
89.96,542,Xisanqi
160.4,1220,Xisanqi
227.2,1580,Xisanqi
74.8,549,Xisanqi
59,362,Xisanqi
157.92,999,Xisanqi
93.56,650,Xisanqi
102.02,530,Xisanqi
216.65,1450,Xisanqi
81,248,Xisanqi
89.41,490,Xisanqi
93.51,690,Xisanqi
96.85,660,Xisanqi
134.8,730,Xisanqi
74,400,Xisanqi
63.1,439,Xisanqi
82.87,235,Xisanqi
194.17,1188,Xisanqi
98.76,630,Xisanqi
132.06,785,Xisanqi
176.13,1250,Xisanqi
238.74,3500,Xisanqi
93.3,660,Xisanqi
132.16,820,Xisanqi
80.72,320,Xisanqi
115,620,Xisanqi
90,480,Xisanqi
93.56,650,Xisanqi
70.12,278,Xisanqi
157.92,999,Xisanqi
89,538,Xisanqi
91.56,393,Xisanqi
164.76,1300,Xisanqi
63.2,252,Xisanqi
86.48,400,Xisanqi
179.61,1480,Xisanqi
63.9,470,Xisanqi
134.24,666,Xisanqi
59.2,229,Xisanqi
91.07,658,Xisanqi
81.47,359,Xisanqi
149.63,980,Xisanqi
90.85,510,Xisanqi
161.47,980,Xisanqi
134.89,980,Xisanqi
89.63,510,Xisanqi
93.3,666,Xisanqi
86.18,550,Xisanqi
69.52,299,Xisanqi
58.04,270,Xisanqi
130.18,950,Xisanqi
93.3,650,Xisanqi
50.72,251,Xisanqi
82.87,298,Xisanqi
76.7,425,Xisanqi
214.85,1688,Xisanqi
243.07,2050,Xisanqi
163.59,1420,Xisanqi
206.89,1598,Xisanqi
130.19,870,Xisanqi
216.6,1650,Xisanqi
96.85,660,Xisanqi
147.6,930,Xisanqi
164.76,1300,Xisanqi
97.12,578,Xisanqi
91.07,658,Xisanqi
257.75,1940,Xisanqi
139.85,1000,Xisanqi
87.22,899,Xisanqi
89.19,670,Xisanqi
216.6,2100,Xisanqi
140.4,618,Xisanqi
73.39,495,Xisanqi
127.75,510,Xisanqi
178.46,980,Xisanqi
127.75,588,Xisanqi
82.87,350,Xisanqi
157.32,1080,Xisanqi
160.4,1220,Xisanqi
63.94,520,Xisanqi
89.42,525,Xisanqi
196,1399,Xisanqi
250.39,1600,Xisanqi
73.5,359,Xisanqi
127.75,588,Xisanqi
216.65,1500,Xisanqi
333.72,3400,Xisanqi
132.06,785,Xisanqi
216.6,1700,Xisanqi
133,875,Xisanqi
149,860,Xisanqi
216.6,2100,Xisanqi
89.19,670,Xisanqi
219.76,1460,Xisanqi
159.93,940,Xisanqi
74.8,549,Xisanqi
157.32,1080,Xisanqi
110.52,630,Xisanqi
147.6,930,Xisanqi
262.05,1940,Xisanqi
101.62,638,Xisanqi
93.67,630,Xisanqi
163.59,1420,Xisanqi
90.67,658,Xisanqi
161.87,1135,Xisanqi
131.04,930,Xisanqi
93.67,630,Xisanqi
81.6,440,Xisanqi
88.72,350,Xisanqi
154.08,590,Xisanqi
319.14,2280,Xisanqi
69.75,450,Xisanqi
72.3,450,Xisanqi
140.28,569,Xisanqi
157.92,999,Xisanqi
59.71,360,Xisanqi
124.53,600,Xisanqi
160.4,1220,Xisanqi
141.97,660,Xisanqi
88.5,352,Xisanqi
116.61,720,Xisanqi
132.33,875,Xisanqi
226.6,1450,Xisanqi
88.28,680,Xisanqi
111.26,620,Xisanqi
89.42,525,Xisanqi
63.1,412,Xisanqi
93.56,655,Xisanqi
64.69,298,Xisanqi
70.1,290,Xisanqi
157.32,1050,Xisanqi
82.87,298,Xisanqi
142.83,619,Xisanqi
69.52,310,Xisanqi
63.1,439,Xisanqi
93.51,670,Xisanqi
92.11,705,Xisanqi
80.85,400,Xisanqi
79.25,365,Xisanqi
86.18,566,Xisanqi
159.81,660,Xisanqi
70.07,350,Xisanqi
63.1,413,Xisanqi
216.6,2100,Xisanqi
87.94,358,Xisanqi
64,298,Xisanqi
80.85,400,Xisanqi
89.96,542,Xisanqi
74.9,363,Xisanqi
111.26,620,Xisanqi
60.7,340,Xisanqi
110.52,630,Xisanqi
69.52,310,Xisanqi
56.25,210,Xisanqi
67.25,405,Xisanqi
171.82,870,Xisanqi
59.8,260,Xisanqi
82.2,309,Xisanqi
60.31,295,Xisanqi
88.72,380,Xisanqi
82.86,360,Xisanqi
76.7,388,Xisanqi
85.98,390,Xisanqi
49.2,299,Xisanqi
64.69,298,Xisanqi
86.29,720,Xisanqi
87.42,360,Xisanqi
96.85,660,Xisanqi
219.76,1460,Xisanqi
196,1399,Xisanqi
88.72,350,Xisanqi
82.87,350,Xisanqi
63.2,252,Xisanqi
89.04,350,Xisanqi
95.32,428,Xisanqi
45.05,289,Xisanqi
250.39,1600,Xisanqi
80.01,590,Xisanqi
97.33,610,Xisanqi
70.04,425,Xisanqi
73.34,368,Xisanqi
157.32,1050,Xisanqi
88.98,335,Xisanqi
154.08,590,Xisanqi
58.2,259,Xisanqi
75.41,410,Xisanqi
116.61,720,Xisanqi
94.65,595,Xisanqi
61.8,348,Xisanqi
128.52,1070,Xisanqi
141.97,660,Xisanqi
55.3,271,Xisanqi
69.72,420,Xisanqi
63.1,239,Xisanqi
86.36,309,Xisanqi
109.08,525,Xisanqi
82.87,380,Xisanqi
72.3,450,Xisanqi
159.81,660,Xisanqi
110.23,448,Xisanqi
157.52,1198,Xisanqi
93.67,630,Xisanqi
88.57,329,Xisanqi
75.41,410,Xisanqi
80.3,340,Xisanqi
74.8,715,Xisanqi
154.08,590,Xisanqi
89.81,335,Xisanqi
67.25,405,Xisanqi
60.31,295,Xisanqi
69.72,420,Xisanqi
64.69,298,Xisanqi
59.91,302,Xisanqi
67.25,405,Xisanqi
70.07,350,Xisanqi
122.15,449,Xisanqi
88.72,350,Xisanqi
88.72,380,Xisanqi
61.8,348,Xisanqi
83.3,300,Xisanqi
61.66,269,Xisanqi
92.11,705,Xisanqi
67,320,Xisanqi
159.93,940,Xisanqi
49.2,299,Xisanqi
64,298,Xisanqi
89.04,350,Xisanqi
100,590,Xisanqi
81.47,359,Xisanqi
91.4,658,Xisanqi
63.1,412,Xisanqi
93.56,655,Xisanqi
102.02,530,Xisanqi
82.87,340,Xisanqi
44.8,268,Xisanqi
89.19,670,Xisanqi
195.53,798,Xisanqi
110.23,448,Xisanqi
69.52,260,Xisanqi
86.18,566,Xisanqi
87.2,670,Xisanqi
236.33,1860,Xisanqi
56.5,330,Xisanqi
63.1,259,Xisanqi
88.46,320,Xisanqi
58.5,360,Xisanqi
56.25,210,Xisanqi
73.34,368,Xisanqi
132.33,875,Xisanqi
62.84,315,Xisanqi
90.67,658,Xisanqi
88.5,352,Xisanqi
89.63,509,Xisanqi
180.34,1900,Xisanqi
79.25,365,Xisanqi
52.1,288,Xisanqi
63.2,252,Xisanqi
226.6,1450,Xisanqi
90.01,343,Xisanqi
109.08,525,Xisanqi
55.3,271,Xisanqi
143.87,988,Xisanqi
89,538,Xisanqi
63.1,450,Xisanqi
216.6,2100,Xisanqi
56.25,210,Xisanqi
128.52,1070,Xisanqi
63.1,270,Xisanqi
87.2,519,Xisanqi
86.36,282,Xisanqi
122.15,449,Xisanqi
171.82,870,Xisanqi
93.51,670,Xisanqi
66.2,442,Xisanqi
70.07,350,Xisanqi
70.26,300,Xisanqi
93,679,Xisanqi
116.61,720,Xisanqi
127.75,510,Xisanqi
95.32,428,Xisanqi
58.5,360,Xisanqi
89.2,299,Xisanqi
154.08,590,Xisanqi
130.49,950,Xisanqi
59.4,550,Xisanqi
127.75,588,Xisanqi
164.76,1300,Xisanqi
89.04,365,Xisanqi
96.4,450,Xisanqi
181.56,900,Xisanqi
60.81,310,Xisanqi
254.63,2050,Xisanqi
130.6,868,Xisanqi
126.38,520,Xisanqi
155.94,560,Xisanqi
254.75,2020,Xisanqi
138.36,499,Xisanqi
117.26,720,Xisanqi
102.6,620,Xisanqi
90.5,355,Xisanqi
66.46,288,Xisanqi
91.56,393,Xisanqi
71.35,326,Xisanqi
134.8,555,Xisanqi
77.42,419,Xisanqi
45.49,244,Xisanqi
63.19,245,Xisanqi
74.8,530,Xisanqi
92.9,369,Xisanqi
93.98,439,Xisanqi
70.26,288,Xisanqi
46.3,235,Xisanqi
58.14,280,Xisanqi
75.7,352,Xisanqi
89.58,550,Xisanqi
71.35,295,Xisanqi
141.17,995,Xisanqi
63.19,269,Xisanqi
102.6,650,Xisanqi
51.6,390,Xisanqi
56.2,290,Xisanqi
147.94,598,Xisanqi
96.85,660,Xisanqi
59.15,288,Xisanqi
97.33,700,Xisanqi
195.53,838,Xisanqi
73.85,399,Xisanqi
140.28,569,Xisanqi
131.28,565,Xisanqi
110.16,550,Xisanqi
79.04,339,Xisanqi
151.77,1100,Xisanqi
61.66,249,Xisanqi
77.42,419,Xisanqi
105.26,523,Xisanqi
85.22,485,Xisanqi
100.78,348,Xisanqi
68.79,380,Xisanqi
89.07,360,Xisanqi
86.82,525,Xisanqi
76.7,460,Xisanqi
100,590,Xisanqi
72.44,349,Xisanqi
131.37,655,Xisanqi
42.37,275,Xisanqi
77.42,445,Xisanqi
72.3,315,Xisanqi
76.59,488,Xisanqi
91.56,476,Xisanqi
69.13,405,Xisanqi
90.65,635,Xisanqi
110.98,630,Xisanqi
90.01,348,Xisanqi
65.67,320,Xisanqi
88.76,380,Xisanqi
87.95,300,Xisanqi
82.87,235,Xisanqi
73.61,368,Xisanqi
96.05,476,Xisanqi
108.93,510,Xisanqi
73.5,428,Xisanqi
116.48,620,Xisanqi
119.61,520,Xisanqi
63.9,470,Xisanqi
147.94,598,Xisanqi
86.48,400,Xisanqi
138.36,499,Xisanqi
123.75,645,Xisanqi
51.6,355,Xisanqi
50,255,Xisanqi
79.11,308,Xisanqi
91.47,420,Xisanqi
51.6,340,Xisanqi
54.82,280,Xisanqi
63.1,628,Xisanqi
95.31,450,Xisanqi
94.55,880,Xisanqi
37.91,210,Xisanqi
47.26,219,Xisanqi
127.75,550,Xisanqi
155.94,830,Xisanqi
59.69,276,Xisanqi
72.19,478,Xisanqi
53.3,249,Xisanqi
53.13,545,Xisanqi
86.65,523,Xisanqi
62.66,320,Xisanqi
83.73,530,Xisanqi
74.8,420,Xisanqi
82.87,380,Xisanqi
67.1,339,Xisanqi
91.16,698,Xisanqi
